comp_interno1,comp_interno2,comp_interno4,categoria1,categoria3,comp_mixto1,comp_externo1,comp_externo2,comp_externo3,Comp_final
0,b'1',45,1,173,0.33334,40.57971014,2.872737719,62,1
0,b'1',45,1,170,0.29186,-10,-10,119,1
0,b'1',59,3,159,0.29112,349.2753623,34.61648951,94,1
2026.342452,b'1',67,2,146,0.27318,276.8115942,27.43464522,125,1
3546.099291,b'1',70,1,160,0.32988,640.5797101,63.48750359,81,1
0,b'0',45,1,175,0.38,92.75362319,-10,128,1
506.585613,b'0',50,3,154,0.35514,217.3913043,21.54553289,114,1
759.8784195,b'1',58,1,168,0.37,200,19.82189026,109,1
0,b'1',55,1,146,0.38,782.6086957,77.56391841,121,1
0,b'0',47,1,175,0.37,136.2318841,4.39528871,48,1
0,b'1',49,1,146,0.36394,-10,-10,-609,1
992.9078014,b'1',75,2,170,0.3717,217.3913043,20.68371158,93,1
709.2198582,b'0',45,1,167,0.31112,507.2463768,50.27291008,117,1
0,b'1',54,1,146,0.325,579.7101449,57.45475438,110,1
119.5542047,b'1',48,3,159,0.36816,185.5072464,18.3855214,69,1
0,b'1',64,1,168,0.38,391.3043478,38.78195921,83,1
1418.439716,b'1',47,3,159,0.36,247.826087,4.59638035,107,1
0,b'1',75,2,150,0.38,113.0434783,11.2036771,98,1
2178.318136,b'1',50,1,160,0.38,785.5072464,16.51824188,53,1
0,b'0',47,1,164,0.35992,23.1884058,2.298190175,21,1
0,b'1',47,1,147,0.36422,159.4202899,15.80005745,75,1
0,b'1',51,3,159,0.31552,365.2173913,21.48807814,77,1
1215.805471,b'1',70,3,147,0.28788,326.0869565,32.31829934,96,1
506.585613,b'1',47,2,176,0.38,115.942029,8.330939385,97,1
3039.513678,b'1',75,1,153,0.37,855.0724638,84.74576271,126,1
0,b'1',51,3,146,0.28066,120.2898551,10.62912956,115,1
0,b'1',60,3,151,0.34926,117.3913043,11.63458776,101,1
5065.85613,b'1',45,1,170,0.34344,380.8695652,37.74777363,35,1
2228.976697,b'1',75,3,167,0.38,1435.652174,142.2866992,94,1
2026.342452,b'1',59,2,169,0.29824,289.8550725,28.72737719,116,1
0,b'1',63,2,160,0.38,933.0434783,92.47342718,61,1
0,b'1',68,1,160,0.24052,26.08695652,2.585463947,68,1
1215.805471,b'1',50,1,176,0.38,121.7391304,12.06549842,32,1
0,b'0',44,1,164,0.33038,142.0289855,14.07641482,120,1
0,b'1',42,1,146,0.2903,28.98550725,2.872737719,131,1
1266.464032,b'1',75,1,153,0.3691,395.6521739,27.86555587,96,1
0,b'0',46,3,159,0.3722,895.0724638,19.42545246,129,1
3039.513678,b'1',69,2,169,0.275,315.942029,31.31284114,97,1
0,b'0',69,2,156,0.38,48.11594203,4.768744614,118,1
81.05369807,b'1',44,1,155,0.30436,55.07246377,5.458201666,95,1
0,b'1',55,3,160,0.34604,752.173913,74.54754381,89,1
0,b'0',57,2,171,0.37,403.1884058,39.95978167,73,1
0,b'1',43,1,154,0.36,70.00289855,6.937948865,71,1
1013.171226,b'0',71,1,175,0.36998,289.8550725,28.72737719,49,1
0,b'0',49,1,146,0.29826,179.7101449,7.325481184,132,1
0,b'0',37,1,171,0.33986,46.66666667,-10,93,1
1013.171226,b'1',52,1,175,0.3058,231.884058,22.98190175,121,1
1013.171226,b'1',46,2,153,0.36452,108.115942,10.71531169,111,1
0,b'1',57,1,147,0.38,266.6666667,23.70008618,131,1
0,b'0',58,2,160,0.31206,211.5942029,20.97098535,85,1
0,b'1',70,1,146,0.35372,449.2753623,-10,92,1
0,b'1',45,3,175,0.36,124.6376812,12.35277219,106,1
0,b'1',48,1,160,0.27776,95.65217391,9.480034473,112,1
0,b'1',46,1,169,0.33188,-10,-10,-609,1
0,b'1',50,3,160,0.36,502.3188406,49.78454467,123,1
1215.805471,b'1',61,3,152,0.37334,173.0434783,10.05458202,115,1
0,b'1',47,1,164,0.35648,101.4492754,10.05458202,131,1
0,b'1',62,2,151,0.34454,26.08695652,2.585463947,111,1
506.585613,b'1',75,1,154,0.36482,62.60869565,-10,86,1
911.8541033,b'1',75,1,164,0.37,101.4492754,10.05458202,51,1
0,b'1',58,2,159,0.21168,811.5942029,49.41108877,33,1
0,b'0',44,1,146,0.31244,57.97101449,5.745475438,129,1
0,b'0',50,2,146,0.38,75.36231884,6.320022982,59,1
425.5319149,b'0',50,3,147,0.38,154.7826087,15.34041942,109,1
0,b'1',68,3,164,0.3525,501.4492754,49.69836254,56,1
0,b'1',68,3,151,0.33664,202.8985507,20.10916403,107,1
911.8541033,b'1',71,2,170,0.28,747.826087,31.45647802,134,1
0,b'1',54,1,146,0.3464,200,19.82189026,123,1
1215.805471,b'1',73,3,151,0.2719,1159.42029,114.9095088,129,1
810.5369807,b'1',55,1,169,0.26,94.20289855,9.336397587,60,1
0,b'1',43,3,146,0.28974,265.3913043,26.30278656,87,1
0,b'1',46,3,164,0.3699,57.97101449,5.745475438,91,1
0,b'1',54,2,149,0.37,918.8405797,91.06578569,118,1
0,b'0',50,1,159,0.30228,86.95652174,8.618213157,117,1
0,b'0',49,4,164,0.2981,250.7246377,24.84918127,129,1
0,b'0',40,1,162,0.34588,269.8550725,26.74518816,75,1
0,b'1',63,3,164,0.36,585.5072464,0.002585464,92,1
0,b'0',48,1,159,0.29032,169.2753623,16.77678828,85,1
0,b'0',75,1,160,0.37,205.7971014,20.39643781,53,1
0,b'0',43,1,176,0.37,948.6956522,94.02470554,50,1
0,b'1',43,3,164,0.3607,46.37681159,4.59638035,80,1
0,b'0',43,3,159,0.36,41.15942029,4.079287561,46,1
1519.756839,b'1',57,3,164,0.344,57.97101449,5.745475438,27,1
1519.756839,b'1',62,1,146,0.34378,197.1014493,19.53461649,81,1
0,b'1',65,2,176,0.25852,631.1594203,45.70525711,112,1
0,b'1',72,1,146,0.26738,1179.710145,116.9204252,80,1
0,b'1',60,1,169,0.34,434.7826087,43.09106579,103,1
0,b'1',43,3,164,0.34012,28.98550725,2.872737719,43,1
0,b'1',43,1,146,0.37996,130.4347826,12.92731974,79,1
0,b'1',40,1,159,0.31112,-10,-10,-609,1
2422.492401,b'0',72,3,146,0.21488,111.1507246,-10,48,1
0,b'1',51,3,173,0.36734,204.6666667,20.28440103,65,1
3546.099291,b'1',55,2,166,0.36364,1200,118.9313416,104,1
0,b'1',54,1,168,0.37,263.7681159,26.14191324,-45,1
0,b'1',51,2,170,0.2969,947.826087,93.93852341,132,1
8105.369807,b'1',64,1,167,0.38,217.3913043,21.54553289,81,1
810.5369807,b'1',39,1,156,0.3352,75.36231884,7.46911807,74,1
1519.756839,b'1',66,3,176,0.38,283.1014493,28.0580293,108,1
0,b'0',43,1,162,0.37524,269.5652174,26.71646079,82,1
0,b'1',57,3,164,0.38,121.7391304,8.043665613,120,1
0,b'1',47,2,168,0.38,289.8550725,28.72737719,73,1
0,b'1',75,2,159,0.26034,486.9565217,48.26199368,-41,1
1013.171226,b'1',70,1,154,0.3348,404.3478261,40.07469118,117,1
0,b'0',53,2,170,0.33998,521.7391304,41.36742315,99,1
0,b'1',30,1,154,0.29006,562.3188406,0.861821316,88,1
0,b'1',48,2,171,0.37,347.826087,6.03274921,100,1
0,b'0',58,1,159,0.29524,156.8115942,15.54151106,87,1
1519.756839,b'0',41,1,148,0.37476,28.98550725,2.872737719,91,1
4052.684904,b'1',47,2,164,0.35,-10,-10,-608,1
0,b'0',45,1,160,0.37736,39.13043478,3.878195921,113,1
0,b'0',47,1,146,0.36,434.7826087,43.09106579,31,1
1215.805471,b'1',63,3,170,0.34578,665.2173913,65.49841999,123,1
0,b'0',58,3,167,0.37,33.91304348,2.872737719,142,1
0,b'1',48,3,164,0.37,217.3913043,21.54553289,59,1
0,b'1',47,2,172,0.366,115.942029,-10,53,1
0,b'1',44,1,146,0.30336,405.2173913,32.08848032,106,1
0,b'0',51,1,154,0.328,229.1304348,22.70899167,118,1
8105.369807,b'1',54,1,168,0.37,1457.971014,144.4987073,124,1
0,b'0',52,2,146,0.38,347.826087,34.47285263,113,1
0,b'1',44,1,154,0.30588,84.05797101,8.330939385,52,1
0,b'0',58,2,154,0.31066,2898.550725,287.2737719,102,1
0,b'0',52,2,148,0.37778,144.9275362,8.043665613,121,1
607.9027356,b'1',56,1,156,0.37,115.942029,9.623671359,94,1
3546.099291,b'1',44,2,159,0.37,86.95652174,-10,128,1
0,b'1',73,2,164,0.28332,1101.449275,109.1640333,106,1
0,b'1',69,1,146,0.31202,529.1304348,18.96006895,79,1
0,b'0',50,1,168,0.35,57.97101449,5.745475438,84,1
455.9270517,b'1',46,1,164,0.36,10.43478261,1.034185579,97,1
911.8541033,b'1',46,1,169,0.368,26.37681159,2.614191324,36,1
0,b'1',57,1,168,0.36168,318.8405797,28.72737719,129,1
455.9270517,b'1',55,2,162,0.34,58.25507246,-10,61,1
0,b'1',64,1,146,0.2653,284.057971,28.15282965,134,1
0,b'1',44,2,169,0.28668,168.115942,16.66187877,104,1
0,b'0',49,1,160,0.38,185.5072464,16.66187877,67,1
0,b'1',36,1,154,0.37,156.5217391,15.51278368,42,1
0,b'1',59,3,164,0.34988,28.98550725,2.872737719,66,1
0,b'1',64,2,164,0.28858,289.8550725,28.72737719,83,1
1013.171226,b'0',45,3,159,0.35296,88.98550725,6.03274921,128,1
0,b'1',59,1,159,0.31764,177.3913043,13.51335823,81,1
0,b'1',44,3,164,0.36286,234.7826087,23.26917552,123,1
658.5612969,b'1',47,2,147,0.28334,156.5217391,15.51278368,96,1
0,b'0',55,3,164,0.3,713.0434783,70.66934789,124,1
911.8541033,b'1',45,3,164,0.30854,107.2463768,6.004021833,110,1
1013.171226,b'1',61,3,173,0.34,76.52173913,-10,68,1
0,b'0',56,1,168,0.3324,121.7391304,12.06549842,79,1
607.9027356,b'1',70,1,153,0.36818,34.72463768,-10,128,1
0,b'1',61,2,171,0.36626,57.50724638,5.699511635,84,1
0,b'0',42,1,146,0.368,354.6202899,35.14622235,-58,1
0,b'1',70,1,164,0.31142,250.1449275,13.21459351,129,1
0,b'1',75,2,159,0.32654,888.4057971,88.04941109,122,1
56241.13475,b'0',64,1,146,0.27926,460.6376812,45.65354783,94,1
0,b'1',48,2,146,0.33696,68.4057971,6.779661017,129,1
