,comp_interno1,comp_interno2,comp_interno4,categoria1,categoria3,comp_mixto1,comp_externo1,comp_externo2,comp_externo3,Comp_final
0,0,0,58,2,156,0.33522,260.8695652,25.85463947,56,0
1,0,1,45,1,173,0.33334,40.57971014,2.872737719,62,0
2,0,1,45,1,170,0.29186,0,0,119,1
3,0,1,59,3,159,0.29112,349.2753623,34.61648951,94,0
4,2026.342452,1,67,2,146,0.27318,276.8115942,27.43464522,125,0
5,3546.099291,1,70,1,160,0.32988,640.5797101,63.48750359,81,1
6,557.2441743,1,71,3,169,0.34022,0,0,-608,1
7,0,0,45,1,175,0.38,92.75362319,0,128,1
8,506.585613,0,50,3,154,0.35514,217.3913043,21.54553289,114,1
9,759.8784195,1,58,1,168,0.37,200,19.82189026,109,1
11,0,1,61,1,167,0.31664,214.2028986,21.22953174,37,1
12,2532.928065,1,59,3,171,0.33008,420.2898551,41.65469693,118,1
13,0,0,52,1,153,0.33954,75.36231884,0,78,1
14,0,1,55,1,146,0.38,782.6086957,77.56391841,121,0
15,0,0,47,1,175,0.37,136.2318841,4.39528871,48,1
16,0,1,49,1,146,0.36394,0,0,-609,0
17,992.9078014,1,75,2,170,0.3717,217.3913043,20.68371158,93,1
18,709.2198582,0,45,1,167,0.31112,507.2463768,50.27291008,117,1
19,0,1,54,1,146,0.325,579.7101449,57.45475438,110,1
20,0,1,52,1,159,0.325,462.8985507,45.87762137,119,1
21,119.5542047,1,48,3,159,0.36816,185.5072464,18.3855214,69,0
22,0,1,64,1,168,0.38,391.3043478,38.78195921,83,1
23,1418.439716,1,47,3,159,0.36,247.826087,4.59638035,107,1
24,0,1,75,2,150,0.38,113.0434783,11.2036771,98,1
25,2178.318136,1,50,1,160,0.38,785.5072464,16.51824188,53,1
26,0,0,47,1,164,0.35992,23.1884058,2.298190175,21,1
27,0,1,47,1,147,0.36422,159.4202899,15.80005745,75,1
28,0,1,51,3,159,0.31552,365.2173913,21.48807814,77,1
29,1215.805471,1,70,3,147,0.28788,326.0869565,32.31829934,96,0
30,506.585613,1,47,2,176,0.38,115.942029,8.330939385,97,1
31,3039.513678,1,75,1,153,0.37,855.0724638,84.74576271,126,1
32,0,1,51,3,146,0.28066,120.2898551,10.62912956,115,0
33,0,1,60,3,151,0.34926,117.3913043,11.63458776,101,1
34,5065.85613,1,45,1,170,0.34344,380.8695652,37.74777363,35,1
35,2228.976697,1,75,3,167,0.38,1435.652174,142.2866992,94,0
36,2026.342452,1,59,2,169,0.29824,289.8550725,28.72737719,116,1
37,0,1,63,2,160,0.38,933.0434783,92.47342718,61,1
38,0,1,68,1,160,0.24052,26.08695652,2.585463947,68,0
39,1519.756839,1,54,2,154,0.26,266.6666667,26.42918702,81,1
40,1215.805471,1,50,1,176,0.38,121.7391304,12.06549842,32,1
41,0,0,44,1,164,0.33038,142.0289855,14.07641482,120,1
42,0,1,63,3,154,0.26512,289.8550725,20.39643781,82,0
43,2026.342452,1,47,1,150,0.34,638.5507246,63.28641195,52,1
44,0,1,42,1,146,0.2903,28.98550725,2.872737719,131,0
45,1266.464032,1,75,1,153,0.3691,395.6521739,27.86555587,96,0
46,0,1,51,2,146,0.32926,1284.637681,127.3197357,131,1
47,759.8784195,0,47,2,170,0.33,1420.689855,140.803792,68,0
48,0,0,46,3,159,0.3722,895.0724638,19.42545246,129,0
49,3039.513678,1,69,2,169,0.275,315.942029,31.31284114,97,0
50,0,0,69,2,156,0.38,48.11594203,4.768744614,118,1
51,0,0,52,2,156,0.37554,0,0,-608,0
